Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
detida pelos orgaos sociais da NOVABASE,Sociedade,Bright Innovation Lda,10,,,25000,25000,2500,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,Power Data Lda,20,,,10000,10000,2000,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,Radical Innovation Lda,20,,,10000,10000,2000,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,Smartgeo Solutions Lda,69.4,,,5000,5000,3472,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,City Pulse Lda,10,,,100000,100000,10000,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,Widzee SA,60,,,155985,15598487,9359092,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
detida pelos orgaos sociais da NOVABASE,Sociedade,Livian Technologies Lda,20,,,10000,10000,2000,0,,,2015,NOVABASE,NOVABASE - Participacoes 2015
Grupo BES,Sociedade,"Es Tech Ventures, SGPS, SA",100,,2000,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"ES Ventures, Sociedade de Capital de Risco, S.A",100,,2005,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Yunit Servicos, SA",33.3,,2000,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,FCR,FCR Espirito Santo Inovacao e Internacionalizacao,50,,2011,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,FCR,"Fundo Bem Comum, FCR",20,,2011,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Espirito Santo Contact Center, Gestao de Call Centers, S.A",41.67,,2000,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,FCR,Fundos de Capital de Risco ES Ventures II,63.9,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Atlantic Ventures Corporation ,63.9,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Sousacamp, SGPS, SA ",24.99,,2007,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Global Active - SGPS, SA ",28.54,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Outsystems, SA ",18.72,,2007,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Coreworks - Proj. Circuito Sist. Elect., SA ",20.69,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Bio-Genesis ,19.13,,2007,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"YDreams - Informatica, SA ",30.67,,2009,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,FCR,Fundos de Capital de Risco ES Ventures III,56.43,,2009,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Nutrigeen SA,11.29,,2009,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Advance Ciclone Systems, SA ",22.57,,2009,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Watson Brown, HSM, Ltd ",20.26,,2009,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Domatica, Electronica e Informatica, SA",15.59,,2011,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,FCR,Fundo FCR PME/Novo Banco,56.78,,1997,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Enkrott SA,16.07,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Palexpo - Espaco a sua medida SA,28.1,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Otherlog SA,21.86,,2006,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Epedal, SGPS SA",12.22,,2015,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,"Attentionfocus, Lda",18.92,,2015,,,,,,,2015,BES,BES - Participacoes 2015
Grupo BES,Sociedade,Nexxxpro - Fabrica de Capacetes SA,33.83,,2015,,,,,,,2015,BES,BES - Participacoes 2015
Banco BPI,Sociedade,EGP-UNIVERSITY OF PORTO BUS.SCHOOL ASS.,,,,,2,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-F-HITEC (ES VENTURES) ,,500000,,,500000,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PORTUGAL GLOBAL VENTURES I,,69000,,,6269,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PORTUGAL VENTURES GPI,,130000,,,6,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PORTUGAL VENTURES TURISMO,,3568000,,,164,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PORTUGAL VENTURES VALOR 2,,2630000,,,131,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PORTUGAL VENTURES-FIEP,,3159000,,,3159,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-PV ACTEC II – CATEGORIA A1,,78000,,,67249,,,,,2015,BPI,BPI - Participacoes 2015
