Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
PVCI,FCR,HCapital SCA SICAR - ESIP,22.73,1850000,,,,,,,,2016,PVCI,"PVCi SICAV - Investments as March 31, 2016"
IMPRESA,Sociedade,Impresa Publishing (a),100,30961957,,,,,5500000,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,IOSS (a),99.89,9688430,,,,,3745930,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,SIC,51,79389999,,,,,-,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,ISM (a),100,63571050,,,,,63071050,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,Vasp,33.33,1910566,,,,,-,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,Lusa,22.35,890732,,,,,-,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,NoniusSoft,,1534858,,,,,-,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,Visapress,10,357,,,,,357,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,Nexponor,1,660,,,,,-,,,2014,IMPRESA,IMPRESA - Participadas 2014
IMPRESA,Sociedade,Impresa Publishing (a),100,51961957,,,,,26500000,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,IOSS (a),99.89,9688430,,,,,3745930,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,SIC,100,239408738,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,Infoportugal,100,2842435,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,Vasp,33.33,1144666,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,Lusa,22.35,890732,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,Visapress,10,-,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Sociedade,Nexponor,1,660,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
IMPRESA,Outros,Outros,n.d,30,,,,,-,,,2015,IMPRESA,IMPRESA - Participadas 2015
CGD,FCR,Caixa Capital ,,,,17000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
CGD,FCR,FCR Grupo CGD,,,,296000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
CGD,FCR,Empreender+ ,,,,25000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
CGD,FCR,Caixa Crescimento FCR ,,,,62000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
CGD,FCR,FCR Caixa Fundos ,,,,199000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
CGD,FCR,TTA ,,,,6000000,,,,,,2015,CGD,CGD - Participacoes em UP 2015
FCR Empreender+,Sociedade,Biosurfit,"9,4","€333,000",,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,FCR Critical Ventures I: ,25,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"BIPS Around Knowledge - Consultoria Informatica, Lda.",Aumento Capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Waydip – Energia e Ambiente, Lda.,",Aumento Capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"WeAdapt – Inclusive Design and Engineering, Lda., ",Aumento Capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Acellera Therapeutics, Lda.",,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Stemmatters - Biotecnologia e Medicina Regenerativa, S.A.",Aumento Capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"PLUX – Wireless Biosensors, S.A.",Aumento Capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Digital Luxury, S.A.",reforco do investimento,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Fotonesga, S.A.",investimento,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"isGreen II, Lda. (isGreen)",participacao no aumento de capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"All Desk, Lda. (AllDesk)",participacao no aumento de capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Noniussoft, S.A. (Nonius)",participacao no aumento de capital,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,FCR Universitas,6,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,FCR ISTart,6,,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
FCR Empreender+,Sociedade,"Critical Health, S.A.",,ao valor nominal e pari-passu com o Grupo Critical,,,,,,,,2011,Caixa Investimento,Caixa BI FCR Empreender+ 2011 - Investimentos
BGI SA,Sociedade,Around Knowledge,,340150,,,,,,340150,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Changing Experience,,199920,,,,,,199920,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,D-Orbit,,95401,,,,,,95401,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Watgrid,,95894,,,,,,95894,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Magic Stone,,95763,,,,,,95763,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Waydip,,101816,,,,,,101816,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,IS Green II,,98036,,,,,,98036,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Weadapt,,100187,,,,,,100187,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,All Desk,,98105,,,,,,98105,,2014,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2014"
BGI SA,Sociedade,Waydip,,101816,,,,,,101816,,2015,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2015"
BGI SA,Sociedade,IS Green II,,98036,,,,,,98036,,2015,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2015"
BGI SA,Sociedade,Weadapt,,100187,,,,,,100187,,2015,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2015"
BGI SA,Sociedade,All Desk,,98105,,,,,,98105,,2015,ISCTE,"Partes Relacionadas - ISCTE, BGI SA 2015"
NOVABASE,Sociedade,Globaleda SA,,,,,,,,784000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Powergrid Lda,,,,,,,,2050000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Bright Innovation Lda,,,,,,,,1477000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,SmartGeo Solutions Lda,,,,,,,,99000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Radical Innovation Lda,,,,,,,,994000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Power Data Lda,,,,,,,,248000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,City Pulse,,,,,,,,1410000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Livin Technologies Lda,,,,,,,,1492000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Outros,outros socios/acionistas,,,,,,,,15000,,2014  (31.12.14),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Globaleda SA,,,,,,,,103000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Powergrid Lda,,,,,,,,2050000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Bright Innovation Lda,,,,,,,,1477000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,SmartGeo Solutions Lda,,,,,,,,99000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Radical Innovation Lda,,,,,,,,994000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Power Data Lda,,,,,,,,248000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,City Pulse,,,,,,,,2410000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Sociedade,Livin Technologies Lda,,,,,,,,1492000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
NOVABASE,Outros,outros socios/acionistas,,,,,,,,15000,,2015 (30.06.15),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2015
ISA,Sociedade,ISA Sul America(BR),,,,,,,25494,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA 7 TEC(ES),,,,,,,,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Quanti fic,Lda",,,,,,,1753,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Blueworks,Lda",,,,,,,,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA7 Ins tSys tAut(FR),,,,,,,,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA 7 TEC (ES),,,,,,,89000,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Quanti fic,Lda",,,,,,,,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Blueworks,Lda",,,,,,,,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Capital Criativo Corporate,Lda.",,,,,,,101160,,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Capital Criativo Corporate, Lda.",,,,,,,,275000,,2014,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA Sul America(BR),,,,,,,918,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA 7 TEC(ES),,,,,,,,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Quanti fic,Lda",,,,,,,128,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Blueworks,Lda",,,,,,,,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA7 Ins tSys tAut(FR),,,,,,,,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,ISA 7 TEC (ES),,,,,,,86000,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Quanti fic,Lda",,,,,,,,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Blueworks,Lda",,,,,,,,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Capital Criativo Corporate,Lda.",,,,,,,36900,,,2015,ISA,ISA - Partes Relacionadas 2015
ISA,Sociedade,"Capital Criativo Corporate, Lda.",,,,,,,,200000,,2015,ISA,ISA - Partes Relacionadas 2015
Desconhecido,Sociedade,ISA,,2575,,,,500,,,,2013,ISA,ISA - Alternext filling
FCR Empreender+,Sociedade,"Biosurfit, SA,",,333000,,,,,,,"no aumento de capital um primeiro round de investimento no valor de 333 mil euros, correspondente a 1/3 do compromisso total assumido.",2010,CGD,CGD - Relatorio do CA – 2010 1S Investimentos
FCR Empreender+,Sociedade,"Bem Comum, Sociedade de Capital de Risco, SA,",,80000,,,,,,,"constituicao da Bem Comum, Sociedade de Capital de Risco, SA, entidade que irá gerir um Fundo de Capital de Risco vocacionado para Start–ups.",2010,CGD,CGD - Relatorio do CA – 2010 1S Investimentos
FCR Empreender+,Sociedade,"Guestcentric, S.A.",,250000,,,,,,,"Na aquisicao de uma participacao, bem como na realizacao de suprimentos convertiveis",2010,CGD,CGD - Relatorio do CA – 2010 1S Investimentos
FCR Empreender+,Sociedade,"Smartwatt – Eficiencia Energetica e Microgeracao, SA",,175000,,,,,,,"atraves da realizacao de prestacoes suplementares de capital no valor de 75 mil euros, ao abrigo do estabelecido em acordo parassocial, passando o investimento total a ascender a 175 mil euros.",2010,CGD,CGD - Relatorio do CA – 2010 1S Investimentos
Portugal Ventures,Sociedade,Kinematix,,6.5M€,,,,,,,VC Funding up to date,2016,Kinematix,Kinematix Fact Sheet
NOVABASE,Sociedade,Powergrid Lda,,,,,,,,1765,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
NOVABASE,Sociedade,"Novabase Atlantico SI, SA",,,,,,,,1092,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
NOVABASE,Sociedade,DTV Research Lda,,,,,,,,1310,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
NOVABASE,Sociedade,Bright Innovation Lda,,,,,,,,1477,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
NOVABASE,Sociedade,SmartGeo Solutions Lda,,,,,,,,99,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
NOVABASE,Outros,outros socios/acionistas,,,,,,,,47,,2013 (31.12.2013),NOVABASE,NOVABASE - Par. Rel. Outros Saldos 2013
