Denominacao,Sede,Ativo liquido,Capita proprio,Proveitos totais,Resultado liquido do exercicio,Percentagem de participacao,Valor de balanco,Perdas de imparidade,Emprestimos permanentes, Investimento total
Impresa Publishing (a),Lisboa,51045312,3539066,26755586,1525529,100%,35611372,-10149415,5500000,30961957
IOSS (a),Oeiras,15691300,8934431,1265683,96704,99.89%,5942500,-,3745930,9688430
SIC,Oeiras,113112773,32216351,177598171,19882081,51.00%,79389999,-,-,79389999
ISM (a),Lisboa,100819737,-1740517,4754925,4613513,100%,500,-,63071050,63571050
Vasp,Cacem,36436453,11377694,210862180,944869,33.33%,1910566,-,-,1910566
Lusa,Lisboa,12350290,5440087,14757048,-802415,22.35%,890732,-,-,890732
NoniusSoft,Maia,n.d,n.d,n.d,n.d,,1534858,-,-,1534858
Visapress,Lisboa,n.d,n.d,n.d,n.d,10.00%,5,-5,357,357
Nexponor,Porto,n.d,n.d,n.d,n.d,1%,660,-,-,660
,,,,,,,125785687,-10154415,72320550,187951822
