Denominacoes,% Participacao,Custo de Aquisicao,Provisao ,Valor Liquido,Capitais Proprios,Resultado Liquido
Around Knowledge,14.29,2796,,2796,nd,nd
Changing Experience,5.88,671,,671,nd,nd
Waydip,1,100,100,0,20005,24761
IS Green II,1,100,100,0,nd,nd
Weadapt,0.18,100,100,0,nd,nd
All Desk,1.67,100,100,0,nd,nd
D-Orbit,2,5000,,5000,nd,nd
Watgrid,1.96,5000,,5000,nd,nd
Magic Stone,2,5000,,5000,nd,nd
Veniam Works,nd,70,,70,nd,nd
