Entidade
FCR Fast Change - FAST CHANGE - Fundo de Capital de Risco
FCR PME / Novo Banco - FCR PME / Novo Banco - Fundo de Capital de Risco para Investidores Qualificados
FINOVA - FINOVA - Fundo de Apoio ao Financiamento a Inovacao
FACCE - Fundo Autonomo de Apoio a Concentracao e Consolidacao de Empresas
FCR Caravela - Fundo Caravela - Fundo de Capital de Risco
FCR Central FRIE - Fundo de Capital de Risco CENTRAL FRIE
FCR PV Global 2 - Fundo de Capital de Risco Portugal Ventures Global 2
FCR PV Valor 2 - Fundo de Capital de Risco Portugal Ventures Valor 2
FCGM - Fundo de Contragarantia Mutuo
FSCR - Fundo de Sindicacao de Capital de Risco PME-IAPMEI
FIEAE - Fundo Imobiliario Especial de Apoio as Empresas
"FRME - Fundo para a Revitalizacao e Modernizacao do Tecido Empresarial, SGPS, S.A"
"GARVAL - GARVAL-Sociedade de Garantia Mutua, S.A"
FCR ISQ Capital - ISQ Capital - Fundo de Investimento de Capital de Risco para Investidores Qualificados
"LISGARANTE - Lisgarante - Sociedade de Garantia Mutua, SA"
NORGARANTE - NORGARANTE-Sociedade de Garantia Mutua S.A
FCR Novabase Capital - NOVABASE CAPITAL - Fundo de Capital de Risco para Investidores Qualificados
"PMEI - PME Investimentos - Sociedade de Investimento, SA"
"PV - PORTUGAL CAPITAL VENTURES - Sociedade de Capital de Risco, S.A."
SPGM - SPGM-Sociedade de Investimento S.A.
